num_parts,num_edges,avg_degree,density,avg_edge_weight,set_num
1,0,0.0,0.0,0.0,3466-1
1,0,0.0,0.0,0.0,3467-1
1,0,0.0,0.0,0.0,3468-1
1,0,0.0,0.0,0.0,3469-1
1,0,0.0,0.0,0.0,3470-1
38,703,37.0,1.0,0.31152204836415365,347-1
1,0,0.0,0.0,0.0,3471-1
32,496,31.0,1.0,0.2566532258064516,347-2
1,0,0.0,0.0,0.0,3472-1
20,190,19.0,1.0,0.32105263157894737,347-3
1,0,0.0,0.0,0.0,3473-1
1,0,0.0,0.0,0.0,3474-1
1,0,0.0,0.0,0.0,3475-1
1,0,0.0,0.0,0.0,3476-1
1,0,0.0,0.0,0.0,3477-1
1,0,0.0,0.0,0.0,3478-1
1,0,0.0,0.0,0.0,3479-1
1,0,0.0,0.0,0.0,3480-1
11,55,10.0,1.0,0.43272727272727274,348-1
1,0,0.0,0.0,0.0,3481-1
1,0,0.0,0.0,0.0,3482-1
1,0,0.0,0.0,0.0,3483-1
1,0,0.0,0.0,0.0,3484-1
1,0,0.0,0.0,0.0,3485-1
1,0,0.0,0.0,0.0,3486-1
1,0,0.0,0.0,0.0,3487-1
1,0,0.0,0.0,0.0,3488-1
1,0,0.0,0.0,0.0,3489-1
1,0,0.0,0.0,0.0,3490-1
21,210,20.0,1.0,0.3752380952380952,349-1
1,0,0.0,0.0,0.0,3491-1
1,0,0.0,0.0,0.0,3492-1
1,0,0.0,0.0,0.0,3493-1
1,0,0.0,0.0,0.0,3494-1
1,0,0.0,0.0,0.0,3495-1
1,0,0.0,0.0,0.0,3496-1
1,0,0.0,0.0,0.0,3497-1
1,0,0.0,0.0,0.0,3498-1
1,0,0.0,0.0,0.0,3499-1
4,6,3.0,1.0,0.6333333333333334,3500-1
25,300,24.0,1.0,0.3616666666666667,350-1
8,28,7.0,1.0,0.6285714285714284,3501-1
32,496,31.0,1.0,0.2610887096774194,350-2
8,28,7.0,1.0,1.0714285714285714,3502-1
34,561,33.0,1.0,0.2841354723707665,350-3
8,28,7.0,1.0,1.125,3503-1
10,45,9.0,1.0,0.78,3504-1
7,21,6.0,1.0,1.0476190476190477,3505-1
10,45,9.0,1.0,0.4977777777777778,3506-1
1,0,0.0,0.0,0.0,3507-1
2,1,1.0,1.0,1.0,3508-1
1,0,0.0,0.0,0.0,35-1
8,28,7.0,1.0,0.65,3510-1
29,406,28.0,1.0,0.30985221674876845,351-1
13,78,12.0,1.0,0.608974358974359,3520-1
32,496,31.0,1.0,0.27419354838709675,352-1
12,66,11.0,1.0,0.5015151515151516,3521-1
4,6,3.0,1.0,0.6333333333333334,3529-1
4,6,3.0,1.0,0.6333333333333334,3530-1
32,496,31.0,1.0,0.2737903225806452,353-1
12,66,11.0,1.0,0.6772727272727274,3531-1
10,45,9.0,1.0,1.1222222222222222,3532-1
27,351,26.0,1.0,0.19658119658119658,3535-1
41,820,40.0,1.0,0.23158536585365855,3536-1
39,741,38.0,1.0,0.252361673414305,3537-1
65,2080,64.0,1.0,0.2,3538-1
28,378,27.0,1.0,0.319047619047619,3540-1
42,861,41.0,1.0,0.31881533101045295,354-1
28,378,27.0,1.0,0.30343915343915345,3541-1
29,406,28.0,1.0,0.2896551724137931,3542-1
29,406,28.0,1.0,0.35935960591133004,3543-1
40,780,39.0,1.0,0.3291025641025641,3544-1
62,1891,61.0,1.0,0.26700158646218936,3545-1
16,120,15.0,1.0,0.20500000000000002,3548-1
16,120,15.0,1.0,0.20500000000000002,3548-2
15,105,14.0,1.0,0.29714285714285715,3549-1
15,105,14.0,1.0,0.320952380952381,3549-2
16,120,15.0,1.0,0.21416666666666667,3550-1
16,120,15.0,1.0,0.21416666666666667,3550-2
72,2556,71.0,1.0,0.24299687010954618,355-1
16,120,15.0,1.0,0.7791666666666667,3551-1
23,253,22.0,1.0,0.30988142292490123,355-2
30,435,29.0,1.0,0.5202298850574713,3552-1
16,120,15.0,1.0,0.6966666666666667,3554-1
27,351,26.0,1.0,0.4333333333333334,3555-1
21,210,20.0,1.0,0.2833333333333333,3557-1
21,210,20.0,1.0,0.2966666666666667,3558-1
16,120,15.0,1.0,0.27166666666666667,3559-1
11,55,10.0,1.0,0.5381818181818182,3560-1
25,300,24.0,1.0,0.30333333333333334,356-1
11,55,10.0,1.0,0.5563636363636364,3561-1
33,528,32.0,1.0,0.2742424242424243,356-2
12,66,11.0,1.0,0.5666666666666667,3562-1
11,55,10.0,1.0,0.5563636363636364,3563-1
11,55,10.0,1.0,0.5563636363636364,3564-1
11,55,10.0,1.0,0.5381818181818182,3565-1
11,55,10.0,1.0,0.5381818181818182,3566-1
11,55,10.0,1.0,0.5745454545454546,3567-1
19,171,18.0,1.0,0.29473684210526313,3568-1
63,1953,62.0,1.0,0.2751152073732719,3569-1
47,1081,46.0,1.0,0.2549491211840888,3570-1
43,903,42.0,1.0,0.2775193798449612,357-1
24,276,23.0,1.0,0.5007246376811595,3571-1
8,28,7.0,1.0,0.45,3573-1
77,2926,76.0,1.0,0.2684552289815448,3578-1
49,1176,48.0,1.0,0.20374149659863944,3579-1
33,528,32.0,1.0,0.3073863636363637,358-1
19,171,18.0,1.0,0.8345029239766081,3581-1
32,496,31.0,1.0,0.38709677419354843,3582-1
31,465,30.0,1.0,0.22086021505376344,3584-1
69,2346,68.0,1.0,0.24479965899403242,3585-1
1,0,0.0,0.0,0.0,359-1
31,465,30.0,1.0,0.4774193548387097,3591-1
10,45,9.0,1.0,0.6088888888888889,3594-1
23,253,22.0,1.0,0.524901185770751,3598-1
3,3,2.0,1.0,1.0,3599-1
12,66,11.0,1.0,0.3924242424242424,3-6
63,1953,62.0,1.0,0.27470558115719407,3600-1
50,1225,49.0,1.0,0.2989387755102041,360-1
6,15,5.0,1.0,0.58,3601-1
4,6,3.0,1.0,0.3166666666666667,3602-1
4,6,3.0,1.0,0.3333333333333333,3603-1
4,6,3.0,1.0,0.16666666666666666,3604-1
2,1,1.0,1.0,0.1,3605-1
40,780,39.0,1.0,0.2758974358974359,361-1
23,253,22.0,1.0,0.2822134387351779,361-2
26,325,25.0,1.0,0.9021538461538463,3612-1
4,6,3.0,1.0,0.25,3615-1
50,1225,49.0,1.0,0.3023673469387755,362-1
11,55,10.0,1.0,0.36727272727272725,3622-1
18,153,17.0,1.0,0.230718954248366,3623-1
11,55,10.0,1.0,0.20181818181818184,3624-1
9,36,8.0,1.0,0.3888888888888889,3625-1
12,66,11.0,1.0,0.25606060606060604,3626-1
8,28,7.0,1.0,0.22142857142857145,3627-1
5,10,4.0,1.0,0.24,3628-1
11,55,10.0,1.0,0.2745454545454546,3629-1
9,36,8.0,1.0,0.3888888888888889,3630-1
39,741,38.0,1.0,0.3163292847503374,363-1
12,66,11.0,1.0,0.24848484848484848,3631-1
13,78,12.0,1.0,0.24743589743589745,3633-1
15,105,14.0,1.0,0.31142857142857144,3634-1
16,120,15.0,1.0,0.2675,3635-1
17,136,16.0,1.0,0.2647058823529412,3636-1
13,78,12.0,1.0,0.29358974358974355,3637-1
13,78,12.0,1.0,0.3487179487179487,3638-1
11,55,10.0,1.0,0.2872727272727273,3639-1
67,2211,66.0,1.0,0.2552238805970149,364-1
17,136,16.0,1.0,0.2566176470588235,3641-1
12,66,11.0,1.0,0.24393939393939396,3642-1
11,55,10.0,1.0,0.2872727272727273,3643-1
10,45,9.0,1.0,0.26,3644-1
15,105,14.0,1.0,0.260952380952381,3645-1
27,351,26.0,1.0,0.2934472934472934,3646-1
20,190,19.0,1.0,0.23263157894736844,3647-1
69,2346,68.0,1.0,0.19624893435635124,3648-1
47,1081,46.0,1.0,0.27890841813135986,365-1
28,378,27.0,1.0,0.244973544973545,365-2
17,136,16.0,1.0,0.25441176470588234,3654-1
96,4560,95.0,1.0,0.1970614035087719,3658-1
16,120,15.0,1.0,0.30083333333333334,3659-1
19,171,18.0,1.0,0.2128654970760234,3660-1
22,231,21.0,1.0,0.3601731601731602,366-1
137,9316,136.0,1.0,0.18941605839416056,3661-1
23,253,22.0,1.0,0.2984189723320158,3662-1
16,120,15.0,1.0,0.21916666666666668,3663-1
23,253,22.0,1.0,0.30237154150197626,3664-1
17,136,16.0,1.0,0.30808823529411766,3665-1
19,171,18.0,1.0,0.2321637426900585,3666-1
26,325,25.0,1.0,0.2849230769230769,3667-1
27,351,26.0,1.0,0.2210826210826211,3668-1
23,253,22.0,1.0,0.2383399209486166,3669-1
30,435,29.0,1.0,0.24436781609195402,3670-1
42,861,41.0,1.0,0.2926829268292683,367-1
30,435,29.0,1.0,0.2471264367816092,3671-1
25,300,24.0,1.0,0.2946666666666667,3672-1
22,231,21.0,1.0,0.30259740259740264,3673-1
29,406,28.0,1.0,0.23497536945812808,3674-1
52,1326,51.0,1.0,0.2403469079939668,3675-1
29,406,28.0,1.0,0.2620689655172414,3676-1
174,15051,173.0,1.0,0.19170819214670123,3677-1
33,528,32.0,1.0,0.29583333333333334,3678-1
32,496,31.0,1.0,0.24495967741935484,3679-1
18,153,17.0,1.0,0.34248366013071896,3680-1
38,703,37.0,1.0,0.25220483641536273,368-1
42,861,41.0,1.0,0.22903600464576077,3681-1
54,1431,53.0,1.0,0.2660377358490566,3682-1
47,1081,46.0,1.0,0.2605920444033302,3683-1
44,946,43.0,1.0,0.26997885835095137,369-1
51,1275,50.0,1.0,0.28211764705882353,370-1
3,3,2.0,1.0,0.4000000000000001,3701-1
3,3,2.0,1.0,0.4000000000000001,3703-1
3,3,2.0,1.0,0.4000000000000001,3704-1
3,3,2.0,1.0,0.4000000000000001,3706-1
3,3,2.0,1.0,0.4000000000000001,3707-1
3,3,2.0,1.0,0.4000000000000001,3708-1
3,3,2.0,1.0,0.4000000000000001,3709-1
3,3,2.0,1.0,0.10000000000000002,3710-1
24,276,23.0,1.0,0.36630434782608695,371-1
4,6,3.0,1.0,0.10000000000000002,3711-1
45,990,44.0,1.0,0.2962626262626263,371-2
5,10,4.0,1.0,0.27,3712-1
32,496,31.0,1.0,0.44979838709677417,371-3
6,15,5.0,1.0,0.30666666666666664,3713-1
4,6,3.0,1.0,0.10000000000000002,3714-1
9,36,8.0,1.0,0.19444444444444445,3715-1
6,15,5.0,1.0,0.18666666666666668,3716-1
7,21,6.0,1.0,0.1761904761904762,3717-1
5,10,4.0,1.0,0.41,3718-1
5,10,4.0,1.0,0.1,3719-1
31,465,30.0,1.0,0.34774193548387095,372-1
5,10,4.0,1.0,0.14,3721-1
25,300,24.0,1.0,0.41800000000000004,372-2
83,3403,82.0,1.0,0.21448721716132824,3722-1
38,703,37.0,1.0,0.3965860597439545,3723-1
42,861,41.0,1.0,0.3846689895470383,3724-1
1,0,0.0,0.0,0.0,3725-1
1,0,0.0,0.0,0.0,3726-1
1,0,0.0,0.0,0.0,3727-1
1,0,0.0,0.0,0.0,3729-1
1,0,0.0,0.0,0.0,3730-1
51,1275,50.0,1.0,0.28180392156862744,373-1
9,36,8.0,1.0,0.8444444444444444,3731-1
22,231,21.0,1.0,0.43593073593073595,373-2
6,15,5.0,1.0,0.7666666666666667,3732-1
2,1,1.0,1.0,1.0,3733-1
2,1,1.0,1.0,1.0,3734-1
3,3,2.0,1.0,1.1666666666666667,3735-1
3,3,2.0,1.0,1.1666666666666667,3736-1
7,21,6.0,1.0,0.6904761904761905,3737-1
1,0,0.0,0.0,0.0,3738-1
105,5460,104.0,1.0,0.2336080586080586,3739-1
28,378,27.0,1.0,0.4767195767195767,3740-1
69,2346,68.0,1.0,0.2552003410059676,374-1
29,406,28.0,1.0,0.44704433497536944,3741-1
35,595,34.0,1.0,0.39142857142857146,374-2
19,171,18.0,1.0,0.5058479532163743,3742-1
30,435,29.0,1.0,0.3167816091954023,3743-1
30,435,29.0,1.0,0.31494252873563217,3744-1
30,435,29.0,1.0,0.4703448275862069,3745-1
30,435,29.0,1.0,0.31494252873563217,3746-1
30,435,29.0,1.0,0.3491954022988506,3747-1
4,6,3.0,1.0,0.31666666666666665,3748-1
31,465,30.0,1.0,0.3247311827956989,3750-1
1,0,0.0,0.0,0.0,3751-1
61,1830,60.0,1.0,0.26836065573770496,375-2
1,0,0.0,0.0,0.0,3752-1
26,325,25.0,1.0,0.3396923076923077,375-3
1,0,0.0,0.0,0.0,3753-1
1,0,0.0,0.0,0.0,3754-1
1,0,0.0,0.0,0.0,3755-1
1,0,0.0,0.0,0.0,3756-1
10,45,9.0,1.0,1.1444444444444444,3758-1
10,45,9.0,1.0,1.1,3759-1
75,2775,74.0,1.0,0.2194954954954955,3760-1
30,435,29.0,1.0,0.3372413793103448,376-1
90,4005,89.0,1.0,0.2279650436953808,3761-1
40,780,39.0,1.0,0.27102564102564103,376-2
47,1081,46.0,1.0,0.28223866790009255,377-1
34,561,33.0,1.0,0.34777183600713013,377-2
7,21,6.0,1.0,1.1666666666666667,3774-1
1,0,0.0,0.0,0.0,3775-1
